"There have been %s0 comments%s"," %s0 件のコメントがあります%s"
"There have been %s%s comment(s)%s","%s%s 件のコメントがあります%s"
"Posted on %s by %s","投稿日: %s 投稿者: %s"
"This post was posted in","掲載カテゴリ"
"Recent Posts","最近の記事"
"Posted on %s at %s","投稿日時: %s %s"
"Posts by ‘%s‘","投稿者: %s"
"says","says"
"Post your comment","コメントを投稿"
"Response to %s","%s への返信"
"Comments","コメント"
"Name","お名前"
"Email","メールアドレス"
"Website","Webサイト"
"Comment","コメント"
"Home","ホーム"

"January","1月"
"February","2月"
"March","3月"
"April","4月"
"May","5月"
"June","6月"
"July","7月"
"August","8月"
"September","9月"
"October","10月"
"November","11月"
"December","12月"

"Monday","月"
"Tuesday","火"
"Wednesday","水"
"Thursday","木"
"Friday","金"
"Saturday","土"
"Sunday","日"

"Next","次へ"
"Previous","前へ"

"Blog Search","ブログ検索"
"Go","Go"
"Search our blog...","ブログ記事を検索..."
"You must be logged in to post a comment.","コメントするにはログインが必要です。"